date,dayToDay
2005-09-27,0.0
2005-09-28,0.06030150753768838
2005-09-29,-0.014497583736043929
2005-09-30,0.039496420636879866
2005-10-04,0.03176130895091433
2005-10-05,0.0019063180827886272
2005-10-07,-0.0201972757162987
2005-10-10,0.002806098587597172
2005-10-11,-0.010729431721798077
2005-10-13,-0.002327496687793307
2005-10-14,0.025999867347615502
2005-10-17,-0.008806625054075923
2005-10-18,-0.02735359740372645
2005-10-19,-0.005102458457256542
2005-10-24,0.016211959794339648
2005-10-25,-0.014346158931640929
2005-10-26,0.014786809493803843
2005-10-28,0.06154317207593385
2005-10-31,0.035633360134493135
2005-11-01,0.015447523852794132
2005-11-02,0.11388606392024148
2005-11-04,0.041082744333414516
2005-11-07,0.00569002494857085
2005-11-08,0.02168317385708696
2005-11-11,0.023021334744980467
2005-11-16,-0.011340747876346535
2005-11-21,-0.04186083247768724
2005-11-22,0.020002295815875648
2005-11-23,0.021030767233545355
2005-11-28,0.021525666561833637
2005-11-29,-0.01948912175818185
2005-12-02,0.0
2005-12-06,0.04718733744519565
2005-12-07,0.01219874605878324
2005-12-08,-0.01066998747620862
2005-12-09,0.008056993207526508
2005-12-12,-0.004370084530321172
2005-12-14,0.010370034177102028
2005-12-16,0.05344693511850407
2005-12-19,0.0034856284856285003
2005-12-20,0.002418781439174955
2005-12-21,0.0407741017243991
2005-12-27,-0.008986405181904189
2005-12-28,-0.0003295185227429886
2005-12-29,-0.002283849918433889
2005-12-30,-0.0077568042960762815
2006-01-03,0.009926291741842563
2006-01-04,0.0554901733610581
2006-01-05,0.01599758709093646
2006-01-06,-0.022022857960917186
2006-01-09,-0.011975340718520357
2006-01-10,-0.02463474833019452
2006-01-11,-0.09040438577174048
2006-01-12,0.005684498809017113
2006-01-18,0.02944574056037508
2006-01-20,-0.03369431704211223
2006-01-23,0.005269825183683796
2006-01-24,0.046826544797582186
2006-01-25,-0.0005846440979053735
2006-01-26,-0.02190482074555033
2006-01-27,-0.03974418055727269
2006-01-30,0.0032216821461359397
2006-02-01,0.0011773296126698085
2006-02-02,0.01859029287088376
2006-02-03,-0.013601573961401492
2006-02-06,-0.008301736180403195
2006-02-07,-0.008022536241407474
2006-02-08,0.02946630949927886
2006-02-09,0.010730437872942922
2006-02-10,-0.010448480951615435
2006-02-16,-0.011077525405187584
2006-02-21,-0.019483289332610898
2006-02-23,0.030271067844771408
2006-02-24,-0.03385397161935577
2006-02-27,-0.005093486214744702
2006-02-28,-0.007792417378474027
2006-03-01,-0.00869490010666829
2006-03-02,0.0029990195513005524
2006-03-03,-0.030901307363003564
2006-03-06,-0.0018019058619693773
2006-03-08,0.0316463032944615
2006-03-09,-0.018404836781822587
2006-03-10,0.012396790324456177
2006-03-13,-0.00636278354299824
2006-03-16,0.003048405156494627
2006-03-17,0.00793613524301473
2006-03-20,0.046442484531902806
2006-03-21,0.0009168973603933539
2006-03-23,-0.014996527491671909
2006-03-24,-0.012241270738066136
2006-03-27,0.01407663290707184
2006-03-28,-0.048922758490921085
2006-03-29,0.004273780240811043
2006-03-30,-0.006705233481622218
2006-03-31,0.07634668366899268
2006-04-03,-0.012096047267630805
2006-04-05,0.0
2006-04-06,0.01993705293276116
2006-04-07,-0.0147875988920676
2006-04-11,-0.0123126881574942
2006-04-17,-0.04999805476665542
2006-04-18,0.0043169528954023475
2006-04-20,-0.012551222482486857
2006-04-21,-0.007666349965599781
2006-04-28,-0.028577165745447664
2006-05-01,0.011467516579067638
2006-05-02,0.04669545105696482
2006-05-03,0.0647625373630023
2006-05-04,0.006695991676367252
2006-05-05,0.014353186530086659
2006-05-09,0.11336733614955885
2006-05-10,-0.03971863470937409
2006-05-15,0.04387500792539878
2006-05-17,-0.030466750229317
2006-05-22,-0.009778525793212369
2006-05-26,0.05906916850625455
2006-06-01,-0.010599074166342204
2006-06-02,-0.009375450742824087
2006-06-05,-0.02964811938261525
2006-06-06,0.039551510921407074
2006-06-07,0.01414972298303996
2006-06-08,0.006703652334720256
2006-06-09,0.01473877209376484
2006-06-12,-0.0819009635407475
2006-06-13,-0.061759893019900376
2006-06-14,0.021465334012542026
2006-06-16,-0.006364637792659611
2006-06-19,0.028797683626659125
2006-06-21,0.03311642737693976
2006-06-22,0.013241203102274168
2006-06-23,0.02547606461843921
2006-06-26,-0.022892410798242446
2006-06-27,-0.035377458775905916
2006-06-28,-0.016289071759964857
2006-06-29,0.017764731188237848
2006-07-03,0.033860808368361583
2006-07-06,0.045891498443202734
2006-07-07,-0.01766853886587305
2006-07-10,0.022022503023614748
2006-07-11,-0.050551079678708984
2006-07-13,-0.08424522613065323
2006-07-14,-0.027535743513214198
2006-07-17,0.00770746871344552
2006-07-18,0.025599871920590656
2006-07-19,0.05097121366700685
2006-07-24,0.026563117335067887
2006-07-25,0.018481321007128185
2006-07-28,0.004563277582101065
2006-07-31,-0.052302399188961735
2006-08-02,0.0070714908526586795
2006-08-03,0.055807397203222815
2006-08-04,-0.03353736700423027
2006-08-07,-0.03919383226354811
2006-08-08,-0.02336937985273746
2006-08-09,-0.024430987680100325
2006-08-10,-0.005435918879364454
2006-08-11,-0.06978571802797727
2006-08-16,0.05073830742210361
2006-08-18,-0.01461483315954104
2006-08-22,0.027019065542918
2006-08-23,-0.013007890031658588
2006-08-25,-0.015851307485705846
2006-08-28,0.049952793043879895
2006-08-29,0.010508039805180558
2006-08-30,0.02469411099135721
2006-08-31,-0.02578640263153553
2006-09-05,0.02265616571366913
2006-09-06,-0.04845661036691884
2006-09-07,0.008251107594275942
