date,open,high,low,close,volume,range,average,single_day_change,day_to_day_change,12 day ema,26 day ema,volume ema,52 week volume average,52 day high,52 week high,52 day low,52 week low,52 day average,52 week average,52 day standard deviation,52 week standard deviation
2019-11-07,1.7456,1.7519999999999998,1.72,1.7201,10352,0.031999999999999806,1.7307,0.025500000000000078,0.0020000000000000018,1.7731560227996987,1.797901227261167,7865.119511387763,10453.0,1.89,1.89,1.6785,1.6785,1.7836500000000002,1.7836500000000002,0.0433574820532743,0.0433574820532743
2019-11-08,1.7492,1.7492,1.71,1.73,12492,0.039200000000000124,1.7297333333333331,0.019200000000000106,0.00990000000000002,1.766642619379744,1.7927886352165794,8096.463535818375,10446.6875,1.89,1.89,1.6785,1.6785,1.780494117647059,1.780494117647059,0.04391633048246388,0.04391633048246388
2019-11-11,1.72,1.72,1.72,1.72,761,0.0,1.72,0.0,-0.010000000000000009,1.7596462264727823,1.787329487575336,7729.690359027456,10567.0,1.89,1.89,1.6785,1.6785,1.7771333333333335,1.7771333333333335,0.044872151720192814,0.044872151720192814
2019-11-12,1.71,1.72,1.7,1.7,8057,0.020000000000000018,1.7066666666666668,0.010000000000000009,-0.020000000000000018,1.751699292501865,1.7812797760071861,7746.055841076083,10022.222222222223,1.89,1.89,1.6785,1.6785,1.7730736842105264,1.7730736842105264,0.046948794526369124,0.046948794526369124
2019-11-13,1.71,1.71,1.71,1.71,353,0.0,1.71,0.0,0.010000000000000009,1.7454443986265853,1.7759337928066472,7376.4030490222785,9918.78947368421,1.89,1.89,1.6785,1.6785,1.7699200000000002,1.7699200000000002,0.04778021138504939,0.04778021138504939
2019-11-14,1.71,1.74,1.71,1.7316,9441,0.030000000000000027,1.7272,-0.021600000000000064,0.021600000000000064,1.7427077388325973,1.7722787583461488,7479.632896571165,9440.5,1.89,1.89,1.6785,1.6785,1.7680952380952382,1.7680952380952382,0.04733742580755919,0.04733742580755919
2019-11-15,1.73,1.73,1.7,1.7,9998,0.030000000000000027,1.71,0.030000000000000027,-0.03160000000000007,1.7378015780077076,1.7676078514701876,7605.551251742606,9440.52380952381,1.89,1.89,1.6785,1.6785,1.7650000000000003,1.7650000000000003,0.048375266031685724,0.048375266031685724
2019-11-18,1.689,1.7,1.65,1.6732,8140,0.050000000000000044,1.6743999999999997,0.015800000000000036,-0.026799999999999935,1.7282913413065515,1.7606172626099237,7632.273689155475,9465.863636363636,1.89,1.89,1.65,1.65,1.7610086956521742,1.7610086956521742,0.0508811480681545,0.0508811480681545
2019-11-19,1.7,1.74,1.7,1.74,6022,0.040000000000000036,1.7266666666666666,-0.040000000000000036,0.06679999999999997,1.7280476401105687,1.7580709679141795,7551.760004697701,9408.217391304348,1.89,1.89,1.65,1.65,1.7601333333333333,1.7601333333333333,0.04998644538494636,0.04998644538494636
2019-11-20,1.75,1.7715,1.6787,1.7695,10792,0.0928,1.7399000000000002,-0.019500000000000073,0.02950000000000008,1.7298254940939835,1.7567081453206161,7713.772004462816,9267.125,1.89,1.89,1.65,1.65,1.7605080000000002,1.7605080000000002,0.049010896094644124,0.049010896094644124
2019-11-21,1.81,1.87,1.751,1.851,59706,0.11900000000000022,1.8239999999999998,-0.040999999999999925,0.0814999999999999,1.7439516699798858,1.76175503442157,10313.383404239674,9328.12,1.89,1.89,1.65,1.65,1.7639884615384616,1.7639884615384616,0.05111282638154597,0.05111282638154597
2019-11-22,1.85,1.88,1.68,1.88,17668,0.19999999999999996,1.8133333333333332,-0.029999999999999805,0.028999999999999915,1.754358919482903,1.7656234068399523,10681.11423402769,11265.73076923077,1.89,1.89,1.65,1.65,1.7682851851851853,1.7682851851851853,0.054733615533876,0.054733615533876
2019-11-25,1.88,1.88,1.75,1.79,12951,0.1299999999999999,1.8066666666666666,0.08999999999999986,-0.08999999999999986,1.7622050815604675,1.768701651326956,10794.608522326304,11502.851851851852,1.89,1.89,1.65,1.65,1.7690607142857144,1.7690607142857144,0.05389819993870533,0.05389819993870533
