date,open,high,low,close,volume,range,average,single_day_change,day_to_day_change,12 day ema,26 day ema,volume ema,52 week volume average,52 day high,52 week high,52 day low,52 week low,52 day average,52 day standard deviation,52 week standard deviation,52 week average
2014-10-02,20.0,20.1,17.6,18.5,2799073,2.5,18.733333333333334,1.5,0.0,18.733333333333334,18.733333333333334,2799073.0,2799073.0,20.1,20.1,17.6,17.6,18.5,0.0,0.0,18.5
2014-10-03,18.2,18.75,18.05,18.65,155562,0.6999999999999993,18.48333333333333,-0.4499999999999993,0.14999999999999858,18.695833333333333,18.714583333333337,2666897.45,2799073.0,20.1,20.1,17.6,17.6,18.575,0.07499999999999929,0.07499999999999929,18.575
2014-10-06,18.48,19.58,18.48,19.24,188229,1.0999999999999979,19.099999999999998,-0.759999999999998,0.5899999999999999,18.75645833333333,18.74348958333334,2542964.0275000003,1477317.5,20.1,20.1,17.6,17.6,18.796666666666667,0.3194091767971326,0.3194091767971326,18.796666666666667
2014-10-07,19.36,19.48,18.9293,19.24,176606,0.5506999999999991,19.21643333333333,0.120000000000001,0.0,18.82545458333333,18.778960364583337,2424646.126125,1047621.3333333334,20.1,20.1,17.6,17.6,18.9075,0.3367027620914323,0.3367027620914323,18.9075
2014-10-08,19.17,19.48,18.9,19.13,37046,0.5800000000000018,19.169999999999998,0.0400000000000027,-0.10999999999999943,18.87713639583333,18.80828833723959,2305266.11981875,829867.5,20.1,20.1,17.6,17.6,18.951999999999998,0.3140318455188896,0.3140318455188896,18.951999999999998
2014-10-09,19.16,19.55,19.0,19.25,114523,0.5500000000000007,19.266666666666666,-0.08999999999999986,0.120000000000001,18.935565936458328,18.84266671194662,2195728.963827812,671303.2,20.1,20.1,17.6,17.6,19.001666666666665,0.3074311124282784,0.3074311124282784,19.001666666666665
2014-10-10,19.25,19.36,18.77,19.0,34775,0.5899999999999999,19.043333333333333,0.25,-0.25,18.95173104598958,18.857716708550623,2087681.2656364215,578506.5,20.1,20.1,17.6,17.6,19.00142857142857,0.28462650069513745,0.28462650069513745,19.00142857142857
2014-10-13,18.92,19.1,18.6401,19.0,52514,0.4599000000000011,18.913366666666665,-0.0799999999999983,0.0,18.945976389091143,18.861890455409327,1985922.9023546004,500830.5714285714,20.1,20.1,17.6,17.6,19.00125,0.2662441313907218,0.2662441313907218,19.00125
2014-10-14,19.03,19.03,17.91,18.1,126457,1.120000000000001,18.346666666666668,0.9299999999999997,-0.8999999999999986,18.85607993072747,18.82324867125363,1892949.6072368703,444791.0,20.1,20.1,17.6,17.6,18.90111111111111,0.37846016800375654,0.37846016800375654,18.90111111111111
2014-10-15,18.1,19.5,18.0,19.43,46156,1.5,18.976666666666667,-1.3299999999999983,1.3299999999999983,18.874167941118348,18.834755020909608,1800609.9268750267,409420.55555555556,20.1,20.1,17.6,17.6,18.954,0.3925353487267097,0.3925353487267097,18.954
2014-10-16,19.13,19.85,19.0,19.4,61787,0.8500000000000014,19.416666666666668,-0.2699999999999996,-0.030000000000001137,18.955542749950595,18.87839839434139,1713668.7805312753,373094.1,20.1,20.1,17.6,17.6,18.994545454545456,0.39562065476835057,0.39562065476835057,18.994545454545456
2014-10-17,19.62,19.65,18.86,19.08,90567,0.7899999999999991,19.196666666666665,0.5400000000000027,-0.3200000000000003,18.991711337458007,18.902268514765787,1632513.6915047115,344793.45454545453,20.1,20.1,17.6,17.6,19.001666666666665,0.37951357756416987,0.37951357756416987,19.001666666666665
