date,low,high,average,volume,close,open,range,twelveDay,twentySixDay,volumeEMA,singleDay,dayToDay,fiftyTwoDayHigh,fiftyTwoWeekHigh,fiftyTwoDayLow,fiftyTwoWeekLow,fiftyTwoWeekAverage,fiftyTwoDayStandDev,fiftyTwoWeekStandDev
1999-12-03,-0.11678115799803712,0.1540726202158973,-0.014066077854103742,-0.9568487545629247,-0.07948969578017684,0.006869479882236851,-0.8637837837837847,-0.348014375813847,-0.27758430052230376,-1.0,0.19238095238095232,0.1180461329715059,1.0,1.0,-1.0,-1.0,-0.4850566509055234,0.632039634573413,0.632039634573413
1999-12-06,0.6229260935143286,1.0,0.8049270990447455,-0.9227950310559007,0.79185520361991,0.6410256410256414,-0.6865203761755483,0.12249977132554424,0.16241474801687428,-1.0,-0.16571428571428548,0.3568521031207603,1.0,1.0,-1.0,-1.0,-0.43081452404317977,0.45873394986214167,0.45873394986214167
1999-12-07,0.3385093167701876,0.8633540372670814,0.610766045548655,-0.7993137452783945,0.6304347826086962,0.7857142857142863,-0.4106583072100325,0.1737340778424037,0.17318308166157048,-1.0,0.29149797570850167,-0.11804613297150579,1.0,1.0,-1.0,-1.0,-0.39246621876651544,0.7259615378445792,0.7259615378445792
1999-12-08,0.4937888198757776,0.7484472049689455,0.6180124223602492,-0.9253942646429395,0.6118012422360246,0.6304347826086962,-0.9467680608365018,0.24037582952008374,0.20654528221396862,-1.0,-0.2958579881656781,0.4759999999999991,1.0,1.0,-1.0,-1.0,-0.3604374036169913,0.8606573138482894,0.8606573138482894
1999-12-09,0.6304347826086962,0.84472049689441,0.7598343685300184,-0.8075697032281237,0.8043478260869579,0.6304347826086962,-1.0,0.31829461037157536,0.24804196368767406,-1.0,-0.30061349693251604,0.28000000000000513,1.0,1.0,-1.0,-1.0,-0.32456656853123833,1.0,1.0
1999-12-10,0.42517006802721125,0.8299319727891155,0.5600907029478468,-1.0,0.42517006802721125,0.7448979591836733,-0.23664122137404742,0.2993783498595226,0.20520169688562873,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.30618253189401423,0.9115688275610503,0.9115688275610503
1999-12-13,0.29931972789115746,0.9353741496598647,0.6383219954648502,0.7811013634922312,0.680272108843538,0.680272108843538,0.801526717557248,0.35021989670032405,0.23768571927906867,-1.0,0.09178743961352898,0.5670995670995678,1.0,1.0,-1.0,-1.0,-0.281302314841541,0.9670975781529958,0.9670975781529958
1999-12-14,-0.592727272727271,0.6145454545454563,-0.07636363636363663,-0.4978332100200824,-0.2509090909090901,0.6145454545454563,1.0,0.24807255340149426,0.16541320493797684,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.28644640715298064,0.7827434924675973,0.7827434924675973
1999-12-15,-1.0,-0.5183823529411754,-0.754901960784317,0.06379443356477354,-0.7463235294117654,-0.6323529411764705,-0.5285171102661566,0.09057705646175651,0.08787494119888839,-1.0,-0.3226837060702866,-0.3653333333333346,1.0,1.0,-1.0,-1.0,-0.3045813749289791,0.7619622467854743,0.7619622467854743
1999-12-16,-0.7142857142857143,1.0,0.3571428571428572,-0.21963088244021123,0.7857142857142858,-0.7142857142857143,1.0,-0.07602452727440678,-0.11618761369817121,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.26633954857703623,1.0,1.0
1999-12-17,0.268571428571428,0.7485714285714278,0.4761904761904734,0.7347338436888018,0.4114285714285708,0.5371428571428578,-0.627118644067796,0.006807723245326525,-0.07175925695652352,-1.0,0.49148099606815276,-0.7047146401985118,1.0,1.0,-1.0,-1.0,-0.24398336370858276,1.0,1.0
1999-12-20,0.4657142857142864,0.6971428571428564,0.6142857142857139,-1.0,0.6800000000000008,0.5,-0.9548022598870066,0.09792942190138576,-0.020305884113355432,-1.0,0.21100917431192556,-0.14640198511166158,1.0,1.0,-1.0,-1.0,-0.2152734409849223,1.0,1.0
1999-12-21,0.4285714285714286,0.625714285714285,0.5542857142857136,-0.24735122289335576,0.6085714285714292,0.625714285714285,-1.0,0.16638286575903494,0.02278848576657677,-1.0,0.3918741808650048,-0.44168734491315154,1.0,1.0,-1.0,-1.0,-0.1911934121261254,1.0,1.0
1999-12-22,0.5171428571428578,0.874285714285715,0.7552380952380966,-0.4978710763441925,0.874285714285715,0.6085714285714292,-0.7890772128060256,0.25471115018089563,0.07772220647693873,-1.0,0.13237221494102203,-0.1488833746898266,1.0,1.0,-1.0,-1.0,-0.16151455675499093,1.0,1.0
1999-12-23,0.43111111111111056,1.0,0.7918518518518516,-0.31815031191207055,0.9444444444444444,0.4444444444444444,-0.2956685499058366,0.09828126039736818,-0.09024985700686572,-1.0,-0.21363040629095698,0.16377171215880804,1.0,1.0,-1.0,-1.0,-0.11701668302257318,1.0,1.0
1999-12-27,0.40442986054142804,1.0,0.7806945583811868,-0.41013961778393904,0.9376538146021336,0.46677604593929445,0.10734463276836048,-0.04365450024283346,-0.24514602621674764,-1.0,-0.3761467889908271,0.3796526054590572,1.0,1.0,-1.0,-1.0,-0.05284215294029204,1.0,1.0
1999-12-28,0.2624390243902437,1.0,0.7541463414634144,0.673829091989306,1.0,0.29268292682926833,1.0,-0.25350371240322545,-0.4532417222006586,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.1852959087637729,1.0,1.0
1999-12-29,0.15291644771413537,1.0,0.5939744263443683,1.0,0.6290068313189698,0.15606936416184958,1.0,-0.4191356329118817,-0.6080424634059376,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.40937232431008375,1.0,1.0
1999-12-30,0.7051282051282051,1.0,0.8888888888888886,0.1745227132980398,0.9615384615384615,0.7948717948717949,-0.34413480233311733,-0.23483222718800756,-0.5045112550112241,-1.0,0.21822033898305015,0.4496189669771382,1.0,1.0,-1.0,-1.0,-0.6155677575225127,1.0,1.0
1999-12-31,0.8026315789473684,0.9968421052631578,0.8859649122807014,-0.8424391487574798,0.858421052631579,0.9736842105263157,-0.6111471160077773,-0.0943339034548013,-0.4368485138034188,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.5748693704901724,1.0,1.0
2000-01-03,0.2696759259259258,0.9386574074074072,0.5817901234567897,-0.25388803071431787,0.537037037037037,0.927662037037037,0.4089436163318212,-0.08550304055526892,-0.49274378646383565,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.5369093579690027,1.0,1.0
2000-01-04,0.10294117647058831,0.3458823529411763,0.21823529411764664,-0.2344216319980803,0.2058823529411764,0.3017647058823527,-0.5541153596889181,-0.05513933292210571,-0.4621627460492903,-1.0,0.3498412698412692,-1.0,1.0,1.0,-1.0,-1.0,-0.5098749688977353,1.0,1.0
2000-01-05,-0.0994117647058822,0.19470588235294128,0.003529411764706003,-0.10531099857161408,-0.08470588235294108,0.19117647058823528,-0.44134802333117296,-0.046339021219084287,-0.4272358342132412,-1.0,0.7384126984126982,-0.9299999999999998,1.0,1.0,-1.0,-1.0,-0.49192849118203674,1.0,1.0
2000-01-06,-0.2983081032947461,-0.06856634016028507,-0.18472345898881992,-0.8540124659135178,-0.18729593351142781,-0.09053131493024624,-0.6476126429051787,-0.07528043078751856,-0.42119522071850446,-1.0,0.34984126984127006,-0.5075000000000003,1.0,1.0,-1.0,-1.0,-0.4773209607306468,0.9921031355444601,0.9921031355444601
2000-01-07,-0.2899262899262899,0.13636363636363624,-0.024979524979524936,-0.7930843616709536,0.07862407862407861,-0.28624078624078597,-0.3539823008849565,-0.09945540713288681,-0.4371026401122826,-1.0,-0.6114285714285712,0.3125,1.0,1.0,-1.0,-1.0,-0.4564390573348026,1.0,1.0
2000-01-10,0.18265440210249673,0.31865965834428356,0.258212877792378,-0.9494025331292938,0.2733245729303546,0.27726675427069636,-1.0,-0.11089119079532783,-0.47753473439230343,-1.0,0.15047619047619087,0.17999999999999972,1.0,1.0,-1.0,-1.0,-0.4312709076331872,1.0,1.0
2000-01-11,-0.040675364543361514,0.15118956254796623,0.06318751598874428,-1.0,0.07904834996162702,0.15118956254796623,-0.9387900355871877,-0.24348421606440118,-0.6666901579541089,-1.0,0.2622222222222219,-0.4299999999999997,1.0,1.0,-1.0,-1.0,-0.4087274634674479,1.0,1.0
2000-01-12,-0.4577046181984453,-0.09739368998628273,-0.2592592592592591,-1.0,-0.2226794695930504,-0.09739368998628273,-0.7338078291814942,-0.44835019981904745,-0.9314997532036031,-1.0,0.31682539682539734,-0.48375000000000057,1.0,1.0,-1.0,-1.0,-0.38916462592160883,1.0,1.0
2000-01-13,-0.28029263831732987,0.06812985825331519,-0.11446425849718056,-1.0,-0.1312299954275269,-0.06264288980338417,-0.633298208640673,-0.3982673086207692,-0.8702220911006217,-1.0,0.05437352245862859,0.019607843137254832,1.0,1.0,-1.0,-1.0,-0.36932902048602434,1.0,1.0
2000-01-14,-0.18661164603392943,0.03163686382393349,-0.07167965764939666,-0.9210351290888203,-0.06006419073819391,-0.18661164603392943,-0.9346680716543726,-0.3478720831547806,-0.8100011621936168,-1.0,-0.28132387706855744,0.19047619047619047,1.0,1.0,-1.0,-1.0,-0.3495521273948745,1.0,1.0
2000-01-18,-0.038923594425757324,0.41758769822200836,0.2212077526830043,-0.5815950178366286,0.2849591542527632,0.009130225852954865,-0.43519494204425624,-0.23587345572152385,-0.7242150863231414,-1.0,-0.5161544523246661,0.6419047619047629,1.0,1.0,-1.0,-1.0,-0.3269530704762136,1.0,1.0
2000-01-19,0.5837288135593228,0.8806779661016955,0.6912994350282498,-0.3553419191003083,0.6094915254237292,0.8806779661016955,-0.9507186858316203,0.1700510087098197,-0.5132438813834382,-1.0,0.4938852304797745,-0.23809523809523814,1.0,1.0,-1.0,-1.0,-0.30720743136767015,1.0,1.0
2000-01-20,0.27050847457627136,0.7288135593220337,0.4517514124293778,-0.6221657899510249,0.3559322033898302,0.7111864406779667,-0.46201232032854167,0.21230606926775275,-0.4408692343474776,-1.0,0.6105362182502363,-0.3822937625754538,1.0,1.0,-1.0,-1.0,-0.2905443330227926,1.0,1.0
2000-01-21,0.12677966101694893,0.525423728813559,0.3640677966101695,-0.06959767731231858,0.4400000000000004,0.49152542372881336,-0.6427104722792593,0.23507032836911423,-0.38049895702565206,-1.0,0.47663551401868953,-0.2751091703056747,1.0,1.0,-1.0,-1.0,-0.2739374335542535,1.0,1.0
2000-01-24,0.2968299711815565,0.845821325648416,0.5038424591738719,0.1411032766486935,0.3688760806916431,0.3688760806916431,-0.28542094455851885,0.23463214999479542,-0.3942134470402544,-1.0,0.3878504672897187,-0.5283842794759817,1.0,1.0,-1.0,-1.0,-0.2583450830776032,1.0,1.0
2000-01-25,-0.4603174603174609,0.26303854875283394,-0.12471655328798126,-0.9739260926655412,-0.17687074829932015,0.06349206349206371,-0.16417910447761064,-0.19249545287544212,-1.1138669440532676,-1.0,0.4316939890710383,-0.6351118760757309,1.0,1.0,-1.0,-1.0,-0.2443069333708361,1.0,1.0
2000-01-26,-0.13378684807256325,0.17687074829932015,0.0022675736961463855,-1.0,-0.036281179138321296,-0.12018140589569193,-1.0,-0.16328099888970504,-1.0301568552220624,-1.0,-0.08925318761384482,-0.0020040080160302898,1.0,1.0,-1.0,-1.0,-0.2302096954360402,1.0,1.0
2000-01-27,-0.27664399092970515,0.4603174603174609,0.05895691609977449,-1.0,-0.006802721088435604,0.31972789115646205,0.1124260355029576,-0.1299453116412841,-0.9484733223729247,-1.0,0.5701275045537322,-0.19839679358717588,1.0,1.0,-1.0,-1.0,-0.21656506593680025,1.0,1.0
2000-01-28,-0.5813953488372097,0.017441860465116976,-0.32170542635659005,-0.15657088275093534,-0.40116279069767335,0.017441860465116976,-0.5917159763313616,-0.42953488392074457,-1.409683081479578,-1.0,0.5701275045537322,-0.4028056112224424,1.0,1.0,-1.0,-1.0,-0.20386328206326088,0.9978379218083946,0.9978379218083946
2000-01-31,-1.0,-0.291512915129152,-0.645756457564576,-0.8043460956777839,-0.645756457564576,-0.30873308733087235,-0.10650887573964907,-0.27514391158284845,-1.0096830418863527,-1.0,0.5446265938069224,-1.0,1.0,1.0,-1.0,-1.0,-0.19353072903707436,0.8430231989511776,0.8430231989511776
2000-02-01,-0.6309963099630994,0.7835178351783527,0.2300123001230019,-0.38995462867149566,0.5375153751537525,-0.6309963099630994,1.0,-0.19937047982697143,-0.9167058912356454,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.17890998150939963,1.0,1.0
2000-02-02,0.1591489361702132,1.0,0.7197163120567385,0.22598105548037895,1.0,0.21361702127659488,0.6301369863013688,-0.2711701873058967,-0.8177112747714788,-1.0,-0.9647218453188615,1.0,1.0,1.0,-1.0,-1.0,-0.15958811032212372,1.0,1.0
2000-02-03,0.3938461538461542,1.0,0.7979487179487181,0.48445153206515545,1.0,0.6061538461538458,0.17351598173515792,-0.17037017274751065,-0.7127499552055776,-1.0,-0.4056987788331081,-0.15332428765264516,1.0,1.0,-1.0,-1.0,-0.13982169600060101,1.0,1.0
2000-02-04,0.5769230769230769,1.0,0.7820512820512813,-0.5484679348445154,0.7692307692307692,1.0,-0.3698630136986315,-0.027506954527692695,-0.6006398624113121,-1.0,1.0,-0.8995929443690627,1.0,1.0,-1.0,-1.0,-0.1221696939537198,0.9675735234528879,1.0
2000-02-07,0.5081967213114753,1.0,0.8142076502732234,-0.3388768652466112,0.9344262295081966,0.6970491803278684,0.08675799086757907,-0.023209957215148957,-0.5490291374095757,-1.0,-0.059200000000000697,0.3894165535956584,1.0,1.0,-0.9905449116695697,-1.0,-0.10221900517994076,1.0,1.0
2000-02-08,0.548165137614679,1.0,0.7274464831804284,-0.4405921308920919,0.6341743119266057,0.8348623853211012,0.17351598173515792,-0.014871506330354833,-0.5056761622467785,-1.0,1.0,-0.6282225237449108,1.0,1.0,-0.9905449116695697,-1.0,-0.08342515906586578,1.0,1.0
2000-02-09,0.2545871559633026,0.5986238532110091,0.3715596330275224,-0.41617971691988054,0.261467889908257,0.4770642201834858,-0.25570776255707883,0.04309316457332679,-0.43988347760120605,-1.0,1.0,-1.0,1.0,1.0,-0.9910335063709298,-1.0,-0.11628292060968837,1.0,1.0
2000-02-10,0.21100917431192712,0.6123853211009178,0.3975535168195721,-0.6317361381638749,0.3692660550458715,0.4048165137614681,-0.21951219512195197,0.09626221741026075,-0.3770757030196463,-1.0,0.5263951734539987,-0.042285714285714815,1.0,1.0,-0.9646059462010382,-1.0,-0.1015117736082406,0.7900151821672248,1.0
2000-02-11,0.15366972477064267,0.38302752293578024,0.2519113149847101,-1.0,0.21903669724770602,0.34747706422018365,-1.0,0.11960958204642913,-0.32990167666932,-1.0,0.7707390648567145,-0.5565714285714292,1.0,1.0,-0.9646059462010382,-1.0,-0.08828916741987325,0.552159398291791,1.0
2000-02-14,0.15366972477064267,0.39793577981651373,0.29740061162079523,-0.8559212838233572,0.3405963302752293,0.20412844036697253,-0.9306666666666691,0.14627823648258342,-0.282854005047561,-1.0,0.07390648567119307,-0.014857142857142347,1.0,1.0,-0.9466729589428978,-1.0,-0.07467358817052061,0.20376478219282412,1.0
