low,high,average,volume,close,open,range,twelveDay,twentySixDay,volumeEMA,singleDay,dayToDay,fiftyTwoDayHigh,fiftyTwoWeekHigh,fiftyTwoDayLow,fiftyTwoWeekLow,fiftyTwoWeekAverage,fiftyTwoDayStandDev,fiftyTwoWeekStandDev
0.9090909090909091,1.1363636363636362,1.015151515151515,1.0,1.0,1.0340909090909092,0.2272727272727273,1.015151515151515,1.015151515151515,1.0,0.03409090909090906,0.0,1.1363636363636362,1.1363636363636362,0.9090909090909091,0.9090909090909091,1.0,0.0,0.0
0.9435885280872246,1.0191988622896422,0.9732954096547366,0.24356558686988572,0.9570988385873431,1.0177767243422613,0.07561033420241758,1.045891601485344,1.052297147823339,0.9621782793434943,0.06067788575491817,-0.08580232282531397,1.1851149561507466,1.1851149561507466,0.9435885280872246,0.9435885280872246,1.0,0.042901161412657096,0.042901161412657096
0.9361271226047673,1.0281975385574078,0.9975073999065276,0.1691392418714165,1.0281975385574078,0.9653372799501482,0.09207041595264054,1.026100054525627,1.034464529132264,1.478535219368406,-0.06286025860725974,0.08459261567222298,1.1684062938152362,1.1684062938152362,0.930285091135691,0.930285091135691,1.0,0.03987734145342425,0.03987734145342425
0.9547530095475301,1.0349285417778569,0.981478186957639,0.21250799606245707,0.9547530095475301,1.0081242957955288,0.08017553223032681,1.032561357212042,1.0449225288600292,1.9532509785854675,0.053371286247998584,-0.08895214374666427,1.1860285832888573,1.1860285832888573,0.9443159580145882,0.9443159580145882,1.0,0.043718749471826635,0.043718749471826635
0.9537889265105631,1.0000476894463255,0.9776336496733272,0.2144588232745146,0.9790643330630932,0.9568887405217226,0.046258762935762254,1.0289158902228686,1.044934722617565,2.3211774918519392,-0.022175592541370692,0.019314225761838943,1.192236158138204,1.192236158138204,0.949258429109638,0.949258429109638,1.0,0.040677839768274104,0.040677839768274104
0.9745695153061225,0.9925063775510204,0.9840561224489797,0.09085501094284754,0.9850924744897959,0.9776785714285715,0.01793686224489799,1.0247944853366149,1.0432506449461962,2.6206777155887835,-0.007413903061224358,0.003109056122448828,1.1957908163265307,1.1957908163265307,0.9520886479591837,0.9520886479591837,1.0,0.037836319706824995,0.037836319706824995
0.9689771680147435,1.0138903109108903,0.996450633084195,0.2522890846690836,1.0064844203269514,0.979488754650012,0.044913142896146785,1.0196015044215996,1.0386977257212826,2.9468687095102144,-0.02699566567693945,0.02245657144807356,1.1944984812805024,1.1944984812805024,0.951059690795536,0.951059690795536,1.0,0.035091761751025796,0.035091761751025796
0.9770883054892601,1.0248210023866349,1.0029435163086715,0.29877008782713665,1.0069212410501194,1.0023866348448687,0.04773269689737469,1.0162458959733616,1.035066174795682,3.1492588553640783,-0.00453460620525048,0.0014319809069210931,1.1933174224343677,1.1933174224343677,0.9501193317422435,0.9501193317422435,1.0,0.03289705819053568,0.03289705819053568
0.9967736817051888,1.033902787327445,1.0175596339979902,0.22469654441697495,1.022002432961337,1.0041519014121754,0.03712910562225624,1.0140672191934772,1.0311199434780585,3.290467768217942,-0.01785053154916172,0.01785053154916172,1.1900354366107793,1.1900354366107793,0.9475062146295025,0.9475062146295025,1.0,0.03189356368074314,0.03189356368074314
1.0228053141355058,1.065668884836716,1.0445133840118093,0.2552343241484053,1.045065953063206,1.0360669713690294,0.04286357070121016,1.0143180417109334,1.0273485323234044,3.4333741687556874,-0.008998981694176678,0.0281810216212377,1.184076538707462,1.184076538707462,0.9427617401188814,0.9427617401188814,1.0,0.033645121782767906,0.033645121782767906
1.0442187801272578,1.0767401503952696,1.0565517635380741,0.2732361218730809,1.048696360091694,1.0590654926409153,0.03252137026801194,1.0164546442734388,1.024911172263058,3.5378356369037336,0.010369132549221227,0.008719497825481426,1.1783105169569597,1.1783105169569597,0.9381708336011313,0.9381708336011313,1.0,0.03544320895342956,0.03544320895342956
1.0580660266916413,1.0873331772418637,1.0721923046905486,0.2164962568518437,1.071177710138141,1.059470849918052,0.029267150550222443,1.0192246954330175,1.022322755553171,3.6095333373093053,-0.011706860220088933,0.029267150550222443,1.1706860220088973,1.1706860220088973,0.932100210723484,0.932100210723484,1.0,0.0399656273830199,0.0399656273830199
1.0327375082919485,1.0721265037560288,1.0531700641244004,0.22803694397023,1.0546461803252238,1.0662997292790939,0.039388995464080145,1.020371315234744,1.0203299636021181,3.6799877498764086,0.01165354895386983,-0.01165354895386983,1.1653548953869877,1.1653548953869877,0.9278555677071196,0.9278555677071196,1.0,0.04135019487620084,0.04135019487620084
1.0404338596258458,1.0594732652248906,1.0497213745522092,0.2065368673814294,1.0492569988058909,1.0506501260448453,0.019039405599044712,1.02148756533562,1.0189582415453855,3.7270189763106925,0.0013931272389545724,-0.0013931272389544613,1.1609393657954092,1.1609393657954092,0.9243399230463049,0.9243399230463049,1.0,0.04198015244066078,0.04198015244066078
1.0462105214482789,1.0621637868582083,1.0558441358262554,0.23532136706802564,1.0591580991722798,1.0462105214482789,0.015953265409929474,1.0229721313885458,1.0177419221698205,3.7651612909391634,-0.012947577724000903,0.01433481819442961,1.1560337253572142,1.1560337253572142,0.920434052129414,0.920434052129414,1.0,0.04336992095476222,0.04336992095476222
1.032414349982697,1.0598684969431307,1.0415657323028416,0.20344033066172207,1.032414349982697,1.0541008190102665,0.02745414696043369,1.023882162846626,1.017494358953599,3.7792157221430727,0.021686469027569433,-0.02445495443534429,1.1535355865728458,1.1535355865728458,0.9184450340292999,0.9184450340292999,1.0,0.0427296581367953,0.0427296581367953
